"id","title","author","year","alan","url"
"1","A Matter of Time","Michael Zerbo and Vivian McAlexander","1995","2","https://ifdb.org/viewgame?id=kk9jr8k8b36em38a"
"2","A Very Hairy Fish-Mess","Byron Alexander Campbell","2009","3","https://ifdb.org/viewgame?id=c95zi71i86rm6etd"
"3","Artifiction","Mikko Vuorinen","2002","2","https://ifdb.org/viewgame?id=xw4s837omeopp8z8"
"4","Bugged","Anssi Räisänen","2001","2","https://ifdb.org/viewgame?id=kozmwlhgd6icof6x"
"5","Catch That Cat","Felix Pleșoianu","2010","3","https://ifdb.org/viewgame?id=7nzaezbhsdpxdf56"
"6","CC","Mikko Vuorinen","1998","2","https://ifdb.org/viewgame?id=58b0tx19wzbuwlpr"
"7","City of Dead Leaves","Felix Pleșoianu","2016","3","https://ifdb.org/viewgame?id=egsx6zne55mhn8re"
"8","Coming Out of the Closet","Mikko Vuorinen","1998","2","https://ifdb.org/viewgame?id=2x6lamp1700wzqmu"
"9","Crystal Ball","Marian Taylor","1999","2","https://ifdb.org/viewgame?id=xuylsd3l7wp7mceg"
"10","Dinnertime","Bob Reeves","1998","2","https://ifdb.org/viewgame?id=uxki9uhnrhs5sdpa"
"11","Don't Be Late","Greg Ewing","1996","2","https://ifdb.org/viewgame?id=erw51whzgx8217hx"
"12","Enter the Dark","Peter R. Shushmaruk","2006","2","https://ifdb.org/viewgame?id=kyob0vwgrx360yl0"
"13","Even Bantams get the Blues","Eric Mayer","2001","2","https://ifdb.org/viewgame?id=i3xvnq3vv5h0c38y"
"14","Hermetisch verschlossen","Uwe Pilz","1997","2","https://ifdb.org/viewgame?id=oifmahslhrdubvtv"
"15","IN-D-I-GO SOUL","Jonathan Blask","2011","3","https://ifdb.org/viewgame?id=2rm73rof6whfmy6"
"16","King Arthur's Night Out","Mikko Vuorinen","1999","2","https://ifdb.org/viewgame?id=gbum4w6lvn57h9ps"
"17","Knot To Be Undone","Lelah Conrad","1999","2","https://ifdb.org/viewgame?id=xcf56wttirmve4p5"
"18","Leaves","Mikko Vuorinen","1997","2","https://ifdb.org/viewgame?id=x86e78uzy380fdot"
"19","Lost In New York","Mikko Vuorinen","2000","2","https://ifdb.org/viewgame?id=uxki5e2ctum10hx6"
"20","Mazemapper","Bob Reeves","1999","2","https://ifdb.org/viewgame?id=dj4i80i11qrh7wk3"
"21","No Earthly Use","Greg Ewing","2000","2","https://ifdb.org/viewgame?id=74ivhmvyczj4b354"
"22","Ogres","Alan DeNiro","2003","2","https://ifdb.org/viewgame?id=xc33iyxsn6qj7xib"
"23","On a Horse with No Name","Greg Ewing","2001","2","https://ifdb.org/viewgame?id=jdlulz8vs7xe2i0x"
"24","Onaar","Robert DeFord","2015","3","https://ifdb.org/viewgame?id=z9btl1v6dbtm28ua"
"25","Oskar und der Tod","Uwe Pilz","1997","2","https://ifdb.org/viewgame?id=oxbfafnnqwu5615y"
"26","Out of the Study","Anssi Räisänen","2002","2","https://ifdb.org/viewgame?id=qd5ptmk64s4l3ku2"
"27","Papa wird vermisst","Ulrike Pilz and Uwe Pilz","1997","2","https://ifdb.org/viewgame?id=8274g45v4p7op3d0"
"28","Puddles on the Path","Anssi Räisänen","2003","2","https://ifdb.org/viewgame?id=s4girkccjl8mtwh4"
"29","Room 206","Byron Alexander Campbell","2009","3","https://ifdb.org/viewgame?id=bo1damdgdg4oy554"
"30","Sardoria","Anssi Räisänen","2003","2","https://ifdb.org/viewgame?id=f7u68nd9cquz72br"
"31","Skipping Breakfast","Stephen Griffiths","1999","2","https://ifdb.org/viewgame?id=0gih2b70l1z6xemu"
"32","SpeedIF 11, part six","Mikko Vuorinen","2000","2","https://ifdb.org/viewgame?id=mv72u7es48wzw04s"
"33","Ted Paladin And The Case Of The Abandoned House","Anssi Räisänen","2011","3","https://ifdb.org/viewgame?id=lzdflmpfknl8m2u"
